index,appid,name,numPlayer,totalTime,price,avgTime(h)PerP,avgCostPerHourPerPerson
1,730,Counter-Strike: Global Offensive,30640,531305447,14.99,289.0042683855527,0.05186774605004191
5,550,Left 4 Dead 2,15817,32392806,19.99,34.132901308718466,0.5856519438297503
6,240,Counter-Strike: Source,14966,91012667,19.99,101.35492338188783,0.19722771556622992
10,320,Half-Life 2: Deathmatch,13995,1787667,4.99,2.1289353340478745,2.3438945843940733
11,4000,Garry's Mod,12656,69735162,9.99,91.83412610619469,0.10878308994248842
14,10,Counter-Strike,12264,94744623,9.99,128.75709801043706,0.07758795557189561
16,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,11586,62882865,29.99,90.45811755567064,0.33153464620290435
18,72850,The Elder Scrolls V: Skyrim,10486,70915354,19.99,112.71433975459344,0.17735099228299697
19,100,Counter-Strike: Condition Zero Deleted Scenes,10263,339387,9.99,0.5511497612783786,18.12574494603506
20,80,Counter-Strike: Condition Zero,10263,8710285,9.99,14.145124882263145,0.7062503924957679
21,220,Half-Life 2,10204,4179317,9.99,6.826272376845681,1.463463431943545
22,400,Portal,9751,2125604,9.99,3.6331384815232624,2.7496887472925344
23,620,Portal 2,9386,6906961,19.99,12.264651253640174,1.6298873556691573
24,8930,Sid Meier's Civilization V,9143,85999526,29.99,156.7675197783368,0.19130238229452565
26,105600,Terraria,8207,38871694,9.99,78.94012022257422,0.1265516187691743
30,271590,Grand Theft Auto V,7317,54329594,59.99,123.75197940868297,0.4847599229252477
34,360,Half-Life Deathmatch: Source,7011,62890,9.99,0.14950316169828365,66.82132930513595
35,30,Day of Defeat,6937,1080927,4.99,2.597008793426553,1.9214413184239085
36,49520,Borderlands 2,6903,23200632,19.99,56.01581920903955,0.3568634768225279
37,40,Deathmatch Classic,6831,19061,4.99,0.04650612404235592,107.29769686795028
38,60,Ricochet,6824,25269,4.99,0.061716002344665885,80.85423245874392
40,380,Half-Life 2: Episode One,6596,749626,7.99,1.894142914897918,4.218266708998887
42,433850,H1Z1: King of the Kill,6501,29236269,19.99,74.95326103676356,0.26669953679794095
44,300,Day of Defeat: Source,6435,6699357,9.99,17.351351981351982,0.5757476426468988
45,322330,Don't Starve Together,5918,7219950,14.99,20.333305170665767,0.7372141358319656
46,420,Half-Life 2: Episode Two,5908,957426,7.99,2.7009309410968183,2.958239279066998
48,252950,Rocket League,5670,27988517,11.99,82.27077307466196,0.14573826830481945
49,70,Half-Life,5599,1060283,9.99,3.156167768053819,3.1652309807853185
50,489830,The Elder Scrolls V: Skyrim Special Edition,5488,4675956,39.99,14.20054664723032,2.816088774145865
52,252490,Rust,5227,34572838,19.99,110.23798864868311,0.18133494855122972
55,500,Left 4 Dead,5015,8045620,19.99,26.73851777999335,0.7476106254086075
56,219640,Chivalry: Medieval Warfare,5008,3836445,24.99,12.767721645367411,1.9572795126738427
57,50,Half-Life: Opposing Force,4994,230491,4.99,0.7692264050193566,6.487036804040071
58,130,Half-Life: Blue Shift,4975,110827,4.99,0.37127973199329983,13.44000108276864
59,20,Team Fortress Classic,4963,166848,4.99,0.5603062663711464,8.905843642117377
60,346110,ARK: Survival Evolved,4853,36032214,59.99,123.74549763033176,0.4847853146076453
63,10180,Call of Duty: Modern Warfare 2,4579,5644131,19.99,20.543535706486132,0.9730554801084524
64,10190,Call of Duty: Modern Warfare 2 - Multiplayer,4579,35188786,19.99,128.08031593506587,0.15607394355690474
67,22380,Fallout: New Vegas,4519,14829581,9.99,54.69344619016007,0.18265442563751463
69,1250,Killing Floor,4442,6945531,19.99,26.060074290859973,0.767073791766245
70,8870,BioShock Infinite,4431,3119500,29.99,11.733619198074173,2.5559036384035903
71,20920,The Witcher 2: Assassins of Kings Enhanced Edition,4419,2850218,19.99,10.749860451082446,1.859559023204541
72,377160,Fallout 4,4349,29476141,29.99,112.96137426228252,0.26548897971413554
75,203160,Tomb Raider,4246,3297362,4.99,12.943013031873136,0.3855361952979382
78,221380,Age of Empires II: HD Edition,4102,9437200,19.99,38.34389728587681,0.5213345907684482
80,227300,Euro Truck Simulator 2,3926,14784988,19.99,62.765274240108674,0.31848821250311465
81,12210,Grand Theft Auto IV,3879,4552671,19.99,19.561188450631608,1.0219215489105185
83,219740,Don't Starve,3864,4731510,14.99,20.408514492753625,0.7344973591939993
85,55230,Saints Row: The Third,3853,5070414,9.99,21.932753698416818,0.45548316172998893
87,48000,LIMBO,3821,422324,9.99,1.8421181191660125,5.423105009424043
88,8190,Just Cause 2,3802,2893560,14.99,12.684376643871646,1.181768755443122
89,238320,Outlast,3741,431365,19.99,1.9217900739552705,10.401760458080743
92,33930,Arma 2: Operation Arrowhead,3714,10046476,19.99,45.083809010949565,0.4433964307484534
94,24240,PAYDAY: The Heist,3698,1430956,14.99,6.449233820082927,2.3243071065777006
95,241930,Middle-earth™: Shadow of Mordor™,3644,3715451,19.99,16.993464141968534,1.1763346091766516
97,222880,Insurgency,3603,3480999,1.49,16.102317513183458,0.09253326415778919
98,409710,BioShock Remastered,3504,228924,19.99,1.0888698630136986,18.35848403837081
100,255710,Cities: Skylines,3480,8310452,29.99,39.8010153256705,0.7534983656725289
101,292030,The Witcher 3: Wild Hunt,3422,12081428,39.99,58.84194428209624,0.6796172439218278
103,42910,Magicka,3404,1853435,9.99,9.074789463376419,1.1008519856374785
104,10500,Empire: Total War,3396,19218124,19.99,94.31745190420102,0.21194380887541361
110,206420,Saints Row IV,3280,3227210,14.99,16.398424796747967,0.914112189786224
112,280,Half-Life: Source,3239,194004,9.99,0.9982710713183082,10.007301911300798
113,42710,Call of Duty: Black Ops - Multiplayer,3239,12539955,39.99,64.52585674590924,0.6197515541323713
114,42700,Call of Duty: Black Ops,3239,4447414,39.99,22.88470721416075,1.7474551728262764
115,20900,The Witcher: Enhanced Edition,3214,2077470,9.99,10.773024268823894,0.9273162067322273
116,63380,Sniper Elite V2,3208,1262112,19.99,6.5571072319202,3.0486004411652847
117,204360,Castle Crashers,3205,1540694,14.99,8.011929277171086,1.8709600997991815
118,107410,Arma 3,3200,32617257,39.99,169.881546875,0.235399316380283
119,200510,XCOM: Enemy Unknown,3196,8033869,29.99,41.89543700458907,0.7158297452945772
120,200260,Batman: Arkham City GOTY,3196,1708814,19.99,8.911211931581143,2.243241452843902
122,207610,The Walking Dead,3173,1405097,24.99,7.380486395629792,3.385955702702376
124,221100,DayZ,3157,14392916,34.99,75.98414106218983,0.4604908275710079
126,42680,Call of Duty: Modern Warfare 3,3149,4033439,39.99,21.34772414523129,1.87326760117111
128,409720,BioShock 2 Remastered,3114,107991,19.99,0.5779865125240847,34.58558213184432
130,200710,Torchlight II,3094,4142076,19.99,22.312411118293472,0.8959139330133005
132,9480,Saints Row 2,3091,1015071,9.99,5.473261080556454,1.8252372494140805
133,205100,Dishonored,3081,2614378,9.99,14.142475386779184,0.706382703648822
134,8980,Borderlands,3066,4840890,19.99,26.314905414220483,0.7596455197288101
135,35450,Rising Storm/Red Orchestra 2 Multiplayer,3031,2824470,19.99,15.53101286704058,1.2871021465974146
136,33910,Arma 2,2994,633878,12.99,3.5286016477399245,3.6813449906764393
138,57300,Amnesia: The Dark Descent,2967,442934,19.99,2.4881136950904392,8.034198774535257
140,431960,Wallpaper Engine,2962,3075221,3.99,17.303741841098358,0.2305859643908519
142,242760,The Forest,2929,3645287,14.99,20.74250028451121,0.7226708349712931
146,220240,Far Cry® 3,2859,4555705,19.99,26.557683339162875,0.7527011955339514
149,202970,Call of Duty: Black Ops II,2849,1308612,59.99,7.655387855387856,7.836310992104611
150,202990,Call of Duty: Black Ops II - Multiplayer,2849,12162129,59.99,71.1485257985258,0.8431657483652739
